idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Venue,DisplayTime,Status,Away Inning Line,Home Inning Line,Away Hits,Home Hits,Away Errors,Home Errors,Poster,Thumb,gameSno,kindCode,year,officialLiveUrl
2438201,2026-03-28 09:05:00,Round 1,Rakuten Monkeys,3,CTBC Brothers,2,,17:05,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438202,2026-03-29 08:05:00,Round 1,Uni-President Lions,3,TSG Hawks,1,,16:05,FINAL,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/i7o6qg1775240959.jpg,,,,
2438203,2026-03-29 09:05:00,Round 1,CTBC Brothers,2,Fubon Guardians,8,,17:05,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/me3dno1712659534.jpg,,,,
2438204,2026-03-29 09:05:00,Round 1,Rakuten Monkeys,2,Wei Chuan Dragons,3,,17:05,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/s3n4sz1712659536.jpg,,,,
2438205,2026-03-31 10:35:00,Round 2,CTBC Brothers,4,Wei Chuan Dragons,1,,18:35,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/r7fgxi1712659538.jpg,,,,
2438206,2026-03-31 10:35:00,Round 2,Rakuten Monkeys,1,TSG Hawks,3,,18:35,FINAL,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/j43peo1775240960.jpg,,,,
2438207,2026-03-31 10:35:00,Round 2,Uni-President Lions,3,Fubon Guardians,5,,18:35,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438208,2026-04-01 10:35:00,Round 2,CTBC Brothers,2,Wei Chuan Dragons,8,,18:35,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/r7fgxi1712659538.jpg,,,,
2438209,2026-04-01 10:35:00,Round 2,Rakuten Monkeys,1,TSG Hawks,6,,18:35,FINAL,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/lxevb81775240961.jpg,,,,
2438210,2026-04-01 10:35:00,Round 2,Uni-President Lions,4,Fubon Guardians,2,,18:35,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/p7sgxb1712659516.jpg,,,,
2438211,2026-04-03 09:05:00,Round 2,Wei Chuan Dragons,5,TSG Hawks,4,,17:05,FINAL,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/gqs4gj1775240962.jpg,,,,
2438212,2026-04-03 09:05:00,Round 2,Fubon Guardians,3,Rakuten Monkeys,2,,17:05,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gwf44t1712659602.jpg,,,,
2438213,2026-04-03 09:05:00,Round 2,CTBC Brothers,2,Uni-President Lions,6,,17:05,FINAL,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/1z4q9v1712659527.jpg,,,,
2438214,2026-04-04 09:05:00,Round 2,CTBC Brothers,,Uni-President Lions,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/1z4q9v1712659527.jpg,,,,
2438215,2026-04-04 09:05:00,Round 2,Fubon Guardians,,Rakuten Monkeys,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/gwf44t1712659602.jpg,,,,
2438216,2026-04-04 09:05:00,Round 2,Wei Chuan Dragons,,TSG Hawks,,,17:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/cgxkfi1775240963.jpg,,,,
2438217,2026-04-05 14:05:00,Round 2,Wei Chuan Dragons,,TSG Hawks,,天母,14:05,SCHEDULED,"","","","","","",,,17,A,2026,https://en.cpbl.com.tw/box/index?gameSno=17&kindCode=A&year=2026
2438218,2026-04-05 17:05:00,Round 2,CTBC Brothers,,Uni-President Lions,,洲際,17:05,SCHEDULED,"","","","","","",,,18,A,2026,https://en.cpbl.com.tw/box/index?gameSno=18&kindCode=A&year=2026
2438219,2026-04-05 17:05:00,Round 2,Fubon Guardians,,Rakuten Monkeys,,新莊,17:05,SCHEDULED,"","","","","","",,,19,A,2026,https://en.cpbl.com.tw/box/index?gameSno=19&kindCode=A&year=2026
2438220,2026-04-06 08:05:00,Round 3,TSG Hawks,,Uni-President Lions,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/ruf8jv1775240965.jpg,,,,
2438221,2026-04-06 08:05:00,Round 3,Wei Chuan Dragons,,Rakuten Monkeys,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438222,2026-04-06 09:05:00,Round 3,Fubon Guardians,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438223,2026-04-07 10:35:00,Round 3,Wei Chuan Dragons,,Rakuten Monkeys,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/udx3701712659513.jpg,,,,
2438224,2026-04-07 10:35:00,Round 3,TSG Hawks,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/pl6dvv1775240966.jpg,,,,
2438225,2026-04-07 10:35:00,Round 3,Fubon Guardians,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/cmjt7a1712659539.jpg,,,,
2438226,2026-04-10 10:35:00,Round 3,Rakuten Monkeys,,CTBC Brothers,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438227,2026-04-10 10:35:00,Round 3,TSG Hawks,,Fubon Guardians,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/ac9grn1775240967.jpg,,,,
2438228,2026-04-10 10:35:00,Round 3,Uni-President Lions,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438229,2026-04-11 08:05:00,Round 3,TSG Hawks,,Fubon Guardians,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/62xj0m1775240968.jpg,,,,
2438230,2026-04-11 08:05:00,Round 3,Uni-President Lions,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438231,2026-04-11 09:05:00,Round 3,Rakuten Monkeys,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438232,2026-04-12 08:05:00,Round 3,TSG Hawks,,Fubon Guardians,,,16:05,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/pk1qzh1775240969.jpg,,,,
2438233,2026-04-12 08:05:00,Round 3,Uni-President Lions,,Wei Chuan Dragons,,,16:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/l2ne001712659508.jpg,,,,
2438234,2026-04-12 09:05:00,Round 3,Rakuten Monkeys,,CTBC Brothers,,,17:05,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/e1mwnh1712659604.jpg,,,,
2438235,2026-04-14 10:35:00,Round 4,CTBC Brothers,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/o41cvw1775240970.jpg,,,,
2438236,2026-04-14 10:35:00,Round 4,Fubon Guardians,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438237,2026-04-15 10:35:00,Round 4,CTBC Brothers,,TSG Hawks,,,18:35,SCHEDULED,,,,,,,,https://www.thesportsdb.com/images/media/event/thumb/am01aw1775240971.jpg,,,,
2438238,2026-04-15 10:35:00,Round 4,Fubon Guardians,,Wei Chuan Dragons,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/u5uxeq1712659524.jpg,,,,
2438239,2026-04-15 10:35:00,Round 4,Rakuten Monkeys,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/nf3jpm1712659540.jpg,,,,
2438240,2026-04-16 10:35:00,Round 4,Rakuten Monkeys,,Uni-President Lions,,,18:35,SCHEDULED,,,,,,,,https://r2.thesportsdb.com/images/media/event/thumb/nf3jpm1712659540.jpg,,,,
