id,gamePk,gameDate,status,awayTeam,awayShort,homeTeam,homeShort,awayScore,homeScore,venue,officialDate,displayTime
mlb-831475,831475,2026-03-01,SCHEDULED,Miami Marlins,MIA,Washington Nationals,WSH,0,0,CACTI Park of the Palm Beaches,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831477,831477,2026-03-01,SCHEDULED,Pittsburgh Pirates,PIT,St. Louis Cardinals,STL,0,0,Roger Dean Chevrolet Stadium,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831531,831531,2026-03-01,SCHEDULED,Atlanta Braves,ATL,Minnesota Twins,MIN,0,0,Lee Health Sports Complex,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831578,831578,2026-03-01,SCHEDULED,New York Yankees,NYY,Philadelphia Phillies,PHI,0,0,BayCare Ballpark,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831585,831585,2026-03-01,SCHEDULED,Tampa Bay Rays,TB,Atlanta Braves,ATL,0,0,CoolToday Park,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831638,831638,2026-03-01,SCHEDULED,Baltimore Orioles,BAL,Boston Red Sox,BOS,0,0,JetBlue Park,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831639,831639,2026-03-01,SCHEDULED,Toronto Blue Jays,TOR,Detroit Tigers,DET,0,0,Publix Field at Joker Marchant Stadium,2026-03-01T18:05:00Z,2026-03-01T18:05:00Z
mlb-831579,831579,2026-03-01,SCHEDULED,Houston Astros,HOU,New York Mets,NYM,0,0,Clover Park,2026-03-01T18:10:00Z,2026-03-01T18:10:00Z
mlb-831768,831768,2026-03-01,SCHEDULED,San Diego Padres,SD,San Francisco Giants,SF,0,0,Scottsdale Stadium,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831794,831794,2026-03-01,SCHEDULED,Milwaukee Brewers,MIL,Kansas City Royals,KC,0,0,Surprise Stadium,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831827,831827,2026-03-01,SCHEDULED,Los Angeles Angels,LAA,Los Angeles Dodgers,LAD,0,0,Camelback Ranch,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831867,831867,2026-03-01,SCHEDULED,Colorado Rockies,COL,Cleveland Guardians,CLE,0,0,Goodyear Ballpark,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831899,831899,2026-03-01,SCHEDULED,Cincinnati Reds,CIN,Athletics,ATH,0,0,Hohokam Stadium,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831914,831914,2026-03-01,SCHEDULED,Chicago White Sox,CWS,Chicago Cubs,CHC,0,0,Sloan Park,2026-03-01T20:05:00Z,2026-03-01T20:05:00Z
mlb-831721,831721,2026-03-01,SCHEDULED,Texas Rangers,TEX,Seattle Mariners,SEA,0,0,Peoria Stadium,2026-03-01T20:10:00Z,2026-03-01T20:10:00Z
mlb-831888,831888,2026-03-01,SCHEDULED,Cleveland Guardians,CLE,Arizona Diamondbacks,ARI,0,0,Salt River Fields at Talking Stick,2026-03-01T20:10:00Z,2026-03-01T20:10:00Z
mlb-831476,831476,2026-03-02,SCHEDULED,Miami Marlins,MIA,St. Louis Cardinals,STL,0,0,Roger Dean Chevrolet Stadium,2026-03-02T18:05:00Z,2026-03-02T18:05:00Z
mlb-831527,831527,2026-03-02,SCHEDULED,Atlanta Braves,ATL,Detroit Tigers,DET,0,0,Publix Field at Joker Marchant Stadium,2026-03-02T18:05:00Z,2026-03-02T18:05:00Z
mlb-831529,831529,2026-03-02,SCHEDULED,Washington Nationals,WSH,Houston Astros,HOU,0,0,CACTI Park of the Palm Beaches,2026-03-02T18:05:00Z,2026-03-02T18:05:00Z
mlb-831577,831577,2026-03-02,SCHEDULED,Tampa Bay Rays,TB,Pittsburgh Pirates,PIT,0,0,LECOM Park,2026-03-02T18:05:00Z,2026-03-02T18:05:00Z
mlb-831640,831640,2026-03-02,SCHEDULED,Boston Red Sox,BOS,Toronto Blue Jays,TOR,0,0,TD Ballpark,2026-03-02T18:07:00Z,2026-03-02T18:07:00Z
mlb-831760,831760,2026-03-02,SCHEDULED,San Francisco Giants,SF,Chicago White Sox,CWS,0,0,Camelback Ranch,2026-03-02T20:05:00Z,2026-03-02T20:05:00Z
mlb-831874,831874,2026-03-02,SCHEDULED,Cleveland Guardians,CLE,Texas Rangers,TEX,0,0,Surprise Stadium,2026-03-02T20:05:00Z,2026-03-02T20:05:00Z
mlb-831930,831930,2026-03-02,SCHEDULED,Chicago Cubs,CHC,Cincinnati Reds,CIN,0,0,Goodyear Ballpark,2026-03-02T20:05:00Z,2026-03-02T20:05:00Z
mlb-831808,831808,2026-03-02,SCHEDULED,Los Angeles Dodgers,LAD,Colorado Rockies,COL,0,0,Salt River Fields at Talking Stick,2026-03-02T20:10:00Z,2026-03-02T20:10:00Z
mlb-831840,831840,2026-03-02,SCHEDULED,Kansas City Royals,KC,Los Angeles Angels,LAA,0,0,Tempe Diablo Stadium,2026-03-02T20:10:00Z,2026-03-02T20:10:00Z
mlb-831934,831934,2026-03-02,SCHEDULED,Athletics,ATH,San Diego Padres,SD,0,0,Peoria Stadium,2026-03-02T20:10:00Z,2026-03-02T20:10:00Z
mlb-831532,831532,2026-03-03,SCHEDULED,Philadelphia Phillies,PHI,Tampa Bay Rays,TB,0,0,Charlotte Sports Park,2026-03-03T18:05:00Z,2026-03-03T18:05:00Z
mlb-831641,831641,2026-03-03,SCHEDULED,Tampa Bay Rays,TB,Minnesota Twins,MIN,0,0,Lee Health Sports Complex,2026-03-03T18:05:00Z,2026-03-03T18:05:00Z
mlb-831772,831772,2026-03-03,SCHEDULED,San Diego Padres,SD,Chicago White Sox,CWS,0,0,Camelback Ranch,2026-03-03T20:05:00Z,2026-03-03T20:05:00Z
mlb-831811,831811,2026-03-03,SCHEDULED,Los Angeles Dodgers,LAD,Cleveland Guardians,CLE,0,0,Goodyear Ballpark,2026-03-03T20:05:00Z,2026-03-03T20:05:00Z
mlb-831817,831817,2026-03-03,SCHEDULED,Los Angeles Angels,LAA,Seattle Mariners,SEA,0,0,Peoria Stadium,2026-03-03T20:10:00Z,2026-03-03T20:10:00Z
mlb-831634,831634,2026-03-04,SCHEDULED,New York Yankees,NYY,Boston Red Sox,BOS,0,0,JetBlue Park,2026-03-04T18:05:00Z,2026-03-04T18:05:00Z
mlb-831642,831642,2026-03-04,SCHEDULED,Houston Astros,HOU,Baltimore Orioles,BAL,0,0,Ed Smith Stadium,2026-03-04T18:05:00Z,2026-03-04T18:05:00Z
mlb-831963,831963,2026-03-04,SCHEDULED,Arizona Diamondbacks,ARI,Athletics,ATH,0,0,Hohokam Stadium,2026-03-04T20:05:00Z,2026-03-04T20:05:00Z
mlb-831929,831929,2026-03-04,SCHEDULED,Chicago Cubs,CHC,Milwaukee Brewers,MIL,0,0,American Family Fields of Phoenix,2026-03-04T20:10:00Z,2026-03-04T20:10:00Z
mlb-831739,831739,2026-03-04,SCHEDULED,Seattle Mariners,SEA,San Francisco Giants,SF,0,0,Scottsdale Stadium,2026-03-05T02:05:00Z,2026-03-05T02:05:00Z
mlb-831478,831478,2026-03-05,SCHEDULED,St. Louis Cardinals,STL,Pittsburgh Pirates,PIT,0,0,LECOM Park,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831479,831479,2026-03-05,SCHEDULED,New York Mets,NYM,Washington Nationals,WSH,0,0,CACTI Park of the Palm Beaches,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831581,831581,2026-03-05,SCHEDULED,Boston Red Sox,BOS,Philadelphia Phillies,PHI,0,0,BayCare Ballpark,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831583,831583,2026-03-05,SCHEDULED,Toronto Blue Jays,TOR,Atlanta Braves,ATL,0,0,CoolToday Park,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831632,831632,2026-03-05,SCHEDULED,Minnesota Twins,MIN,New York Yankees,NYY,0,0,George M. Steinbrenner Field,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831633,831633,2026-03-05,SCHEDULED,Baltimore Orioles,BAL,Tampa Bay Rays,TB,0,0,Charlotte Sports Park,2026-03-05T18:05:00Z,2026-03-05T18:05:00Z
mlb-831582,831582,2026-03-05,SCHEDULED,Houston Astros,HOU,Miami Marlins,MIA,0,0,Roger Dean Chevrolet Stadium,2026-03-05T18:10:00Z,2026-03-05T18:10:00Z
mlb-831810,831810,2026-03-05,SCHEDULED,Los Angeles Dodgers,LAD,Cincinnati Reds,CIN,0,0,Goodyear Ballpark,2026-03-05T20:05:00Z,2026-03-05T20:05:00Z
mlb-831961,831961,2026-03-05,SCHEDULED,Arizona Diamondbacks,ARI,Chicago Cubs,CHC,0,0,Sloan Park,2026-03-05T20:05:00Z,2026-03-05T20:05:00Z
mlb-831765,831765,2026-03-05,SCHEDULED,San Diego Padres,SD,Seattle Mariners,SEA,0,0,Peoria Stadium,2026-03-05T20:10:00Z,2026-03-05T20:10:00Z
mlb-831792,831792,2026-03-05,SCHEDULED,Milwaukee Brewers,MIL,Colorado Rockies,COL,0,0,Salt River Fields at Talking Stick,2026-03-05T20:10:00Z,2026-03-05T20:10:00Z
