idEvent,strTimestamp,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2452752,2026-02-21 04:00:00,Round 0,Yomiuri Giants,1,Tokyo Yakult Swallows,3,,https://r2.thesportsdb.com/images/media/event/thumb/53kwrd1648817499.jpg
2452753,2026-02-21 04:00:00,Round 0,Yokohama DeNA BayStars,7,Hiroshima Toyo Carp,5,,https://r2.thesportsdb.com/images/media/event/thumb/ljo7421648817506.jpg
2452754,2026-02-21 04:00:00,Round 0,Tohoku Rakuten Golden Eagles,3,Chiba Lotte Marines,3,,https://r2.thesportsdb.com/images/media/event/thumb/e7n11l1648817675.jpg
2452755,2026-02-21 05:00:00,Round 0,Chunichi Dragons,1,Hanshin Tigers,1,,https://r2.thesportsdb.com/images/media/event/thumb/auzwfd1648817501.jpg
2452756,2026-02-22 04:00:00,Round 0,Yokohama DeNA BayStars,2,Tohoku Rakuten Golden Eagles,2,,https://r2.thesportsdb.com/images/media/event/thumb/xip7ld1648817398.jpg
2452757,2026-02-22 04:00:00,Round 0,Tokyo Yakult Swallows,1,Hanshin Tigers,12,,https://r2.thesportsdb.com/images/media/event/thumb/iko8b21648817502.jpg
2452758,2026-02-22 04:00:00,Round 0,Hokkaido Nippon-Ham Fighters,1,Hiroshima Toyo Carp,7,,https://r2.thesportsdb.com/images/media/event/thumb/vrgcmq1648817503.jpg
2452759,2026-02-22 04:30:00,Round 0,Chunichi Dragons,0,Yomiuri Giants,3,,https://r2.thesportsdb.com/images/media/event/thumb/x09s8v1648817530.jpg
2452760,2026-02-23 04:00:00,Round 0,Yomiuri Giants,3,Tohoku Rakuten Golden Eagles,0,,https://r2.thesportsdb.com/images/media/event/thumb/rnbibk1648817539.jpg
2452761,2026-02-23 04:00:00,Round 0,Tokyo Yakult Swallows,4,Hiroshima Toyo Carp,1,,https://r2.thesportsdb.com/images/media/event/thumb/aulfo41648817492.jpg
2452762,2026-02-23 04:00:00,Round 0,Hokkaido Nippon-Ham Fighters,5,Hanshin Tigers,2,,
2452763,2026-02-23 04:30:00,Round 0,Chunichi Dragons,8,Chiba Lotte Marines,0,,https://r2.thesportsdb.com/images/media/event/thumb/7ht39q1648817538.jpg
2452764,2026-02-28 04:00:00,Round 0,Tohoku Rakuten Golden Eagles,3,Hiroshima Toyo Carp,5,,https://r2.thesportsdb.com/images/media/event/thumb/tts7f11648817405.jpg
2452765,2026-02-28 04:00:00,Round 0,Chiba Lotte Marines,1,Saitama Seibu Lions,4,,https://r2.thesportsdb.com/images/media/event/thumb/wvjfsh1648817678.jpg
2452766,2026-03-01 03:30:00,Round 0,Fukuoka SoftBank Hawks,6,Saitama Seibu Lions,10,,https://r2.thesportsdb.com/images/media/event/thumb/yueb7p1648817677.jpg
